sessionid,refunded,amount
7f00e4b1-82ba-4a90-8587-b989dba2774d,False,96
eef9b16f-a77c-48c9-a339-0e438b615540,False,126
1b50f98b-16db-4d4b-80fc-bcb7605822d2,False,86
0cab2d09-4bbf-437f-9fa8-8bf1e6ce3702,False,77
c2a466b8-ec12-4bd4-8852-f2e6bbbb7b29,False,91
a1dfa620-7320-4a62-a58c-8877a340b41a,False,94
4e681db9-f199-4f65-810c-f7c29bcd5211,False,92
fbc648eb-085e-4757-b04e-c5f554f51b37,False,77
94793671-8a37-4701-a576-ad062dc3d4d0,False,103
b84f0c39-8587-4620-ae73-9c2ecbb45262,False,107
5e0e0be1-53fe-4d39-9f7d-bdbc98c1c331,False,58
f40ef684-c4fb-4bff-9d78-65754707e21c,False,111
33b7ff04-228c-42b0-9a64-a8732e51039e,False,131
6ddeeb03-edc8-4fcf-94d1-d0613e5a2408,False,124
9cbd5b52-3fbf-4941-a3ff-4a246a7b129b,False,146
3439d27e-a49b-4642-87ae-bd9f292546bc,False,77
dc8660f6-259e-40b5-9b2d-dbda67d77ee9,False,137
77115d08-552e-476e-ba0e-4332c71e1a99,False,67
9e6b4209-083d-4cff-a86e-95967c7bd5e2,False,91
ea010f45-7c69-4b86-96c2-84eefcaae658,False,64
c1fa515a-0869-4cdd-bf3a-4c24f43db3c7,False,100
f6c724a7-5068-41fd-b4aa-4fa96c1b54a0,False,64
b766b073-644d-4a36-80f8-c86113635af3,False,59
a65e62bd-d21e-4f0f-8c54-36cafc7a6f47,False,140
af96e30d-d8d0-4252-9449-3ea14c9e6d3d,False,121
0e06c92f-5a9c-4638-ba42-109f9027a2bc,False,57
8fbb0010-df8c-4512-9d62-222e4a2f877c,False,71
fcf31b55-9bf7-4f2f-ba13-707bb18e6fc6,False,106
74963f7f-cd9c-4062-8dc4-8076bc87f4ce,False,57
1e43a1ee-6e18-4bde-b09f-607d154617c0,False,150
098884e2-0d28-4131-a981-1cf2226411f4,False,100
4edd23c1-2625-4ea2-bc5c-43a055c20f1c,False,53
1451d37e-5ddc-49e8-9153-fac6d6bb4389,False,60
1ac21da3-3d86-4a15-a4cc-ec7b834d5a73,False,60
4f72a261-274e-4fd5-93f5-865a4513ad08,False,100
979abbe6-f221-4380-8263-d30971732c57,False,91
5c1f3f18-de62-4e3e-af08-1f46ea5c1952,False,121
be00ec27-10a6-4fea-becc-2076c4ef8f7a,False,86
69b3e837-727d-4bc7-ba5b-8832afe37701,False,63
7b9e456f-62b2-4a5f-99ab-d4fe9f32d294,False,120
990573a8-a565-4f94-988d-d7ce2b07df00,False,50
6d9e06b1-41cc-4fde-afd2-9306fbde7064,False,123
90bee4d3-9529-4dcc-9cb8-4caf6450d0a1,False,67
654bee4e-9d61-4622-a432-0630911d7640,False,59
e80b02e7-be31-4acc-b6f9-cf5c4104f5a9,False,71
479140d0-c98c-4981-8640-296a99afda2c,False,143
b57cbc22-62b1-4186-8370-d5c3349c4ce9,False,64
7937f58e-21ec-4ceb-925c-b7b8236cfb3f,False,141
4cadc548-1704-40bf-b765-9b1a4ad15cfb,False,112
9544d60e-3594-41b3-8922-e6f173dc3938,False,67
25509ac5-3101-4e87-b18c-201eea9ae770,False,138
1d2fc4e9-03a7-4df0-ac88-85b555c54659,False,88
c7a8a79c-6db7-4766-a9a5-cb50a2412343,False,145
0e016ce5-cc9c-4e20-aa61-e5c6499e6721,True,123
a3cd8341-4b13-457d-a45d-c3c87e56d9f9,False,120
6e136f5d-58fd-4cb8-a412-705208d5964c,False,96
d9eafbf7-9936-4be2-9f09-5ae4797b6505,False,91
464cad07-9fef-44d2-b4fe-8f4279502ff4,False,113
ba39f964-067a-4851-965d-3a138f1ab3fd,False,70
3d06bede-8c92-4490-916a-ceda53a26f63,False,91
18f3acee-e5a9-4f37-96a2-6bc3534ecd12,False,131
fc008e32-a774-41f7-9703-3cf6c4097153,False,118
00c71682-7173-40cc-92bd-20065d6e2340,False,55
0f9cf004-1b2b-4291-b503-a900f6bb82eb,False,141
b8b95e5c-3064-464a-9037-70f6cf72f8f0,False,116
fff15ab4-d213-4d80-999d-7d44d35f3971,False,138
14b6d648-f927-45c1-a6ec-08f15c73ace6,False,129
a9f2759d-3ba7-4857-a4ca-3412ef49428a,False,90
838b49d6-6159-451d-b3ae-74ad9a9229cc,False,118
04693560-6a13-4eb3-b21f-1ade8c9c1cf9,False,112
d0e7aad1-f5e5-4faf-a987-c6ee9b970575,False,116
4522da2c-bae3-45b7-8e3d-722547031eee,False,102
201806eb-857a-469f-af08-89c37c8c417f,False,60
e1d24a16-2449-499b-9f05-d1951eb6c40b,False,119
030cf2b3-e8f8-4013-82df-94bf9cabe0b2,False,142
0727fd98-bc72-4635-b119-832c21a80efa,False,96
be40c0ad-6270-42f6-8b52-4c39701ac6ca,False,134
5ce5b7e2-8f85-44a7-9ecb-7382c8f67cfd,False,147
b0ee675d-81eb-42ae-8522-0ce2550235b0,False,114
1a844971-e5b3-4e76-93ea-d13b19e3d19f,True,87
918a0bb2-d3d4-4104-b498-f659f4db70c0,False,144
d3f93433-eb9e-4552-9833-a354aa03363f,False,101
472a66fe-e183-4cae-94a3-fd5ac8200ef0,False,52
0cd17cd4-99b1-44c0-8934-721fac61c902,True,115
e5c98e6c-004a-4be5-9180-68f7a87f1599,False,143
57e7a221-9526-4c86-a95f-0a53af1d9a1b,False,97
1243a365-c831-4b91-ad25-54266ed20077,False,133
9bda6775-7d01-4ff9-9712-e76a3589ed45,False,100
50fb5221-7bad-4647-b380-c1438ea3a672,False,70
269f4e95-f497-401c-9108-3d2070dc4104,False,57
f694d3a0-d411-4d4a-8abc-0ac51c4069f1,False,94
b4981c4f-b567-45f9-b4ea-b47845d81201,False,58
1d71d803-1bb0-4f51-8503-c1178bb1ca46,False,136
d51df1c5-d5a4-4bf7-8606-d8c0dda0b965,False,135
7cca818c-ab0a-43d4-be7b-60608404e1b5,False,96
acbe7fa5-3e62-4f6b-b9d5-4076a57bf468,False,122
8d34511d-ece0-4566-b66c-1e7aca16fb3f,False,113
ca92fd21-65c2-4cae-9eda-408a1447819c,False,147
07748078-06fe-4c54-b1f3-33090ebdc290,False,76
53cd8c26-92be-49b1-8c25-74d4e2f3a4e2,False,85
1248609e-c291-4cdc-868d-d33df4caf6d8,False,51
f0a32acf-5eb9-4e40-b175-66f5d29629d1,False,68
1a560180-0677-48cf-a38b-6184bd56832d,False,123
f9c9f5c6-593e-4801-9a9f-36c18d4499da,False,85
2f1c9e41-45e8-4122-b968-3f2d2b426cb3,False,146
5ad1e380-9c78-4b62-b51e-c247e55b7165,False,119
3a134f18-d2f5-4be5-91aa-d089333dee05,True,150
ec936679-180d-4192-8635-69be250c659a,False,116
ec18261c-6772-49ea-a2c7-894e5c6b361c,False,54
e11a98c9-ef73-4438-bc89-b4e0a725a1fe,False,148
acdf5e21-aa34-4af8-a814-50cc1fa562d4,False,123
f0aeec5f-c276-4cab-a3e9-c8c026de7275,False,134
f171cfdf-20c1-48e8-a8a1-1de80902d037,False,85
20de7bd8-57ab-442e-ae44-659ea67ffdc4,False,63
ddae9b11-2134-4a30-b563-3c7433dc05bc,False,137
c82a277b-fc50-468f-b4cb-56a45de325c3,False,90
e6c22124-4b58-4e73-8d90-e9d8f290838c,False,113
d7b19d6c-d665-449d-ae62-2d6b51c6343e,False,68
9d374535-3337-491b-9dd2-f000e61c83f2,False,52
b30674e4-952c-45db-bdda-5322acb31337,True,73
4f2d3c3b-2d0e-4df5-9845-dfca2d6f772e,False,150
319c945d-9f2c-4a48-9d1c-94fed436c273,False,122
e0922b3e-46ba-46db-b277-c8399b8418dd,True,89
7015fa40-dfdb-43f4-82ae-b50a57a9e9d3,False,72
f5f9481a-29dd-4b6e-bbf5-03d43982bafb,False,148
8fa46a8b-cd27-43c4-bdf8-f1748972028d,False,74
2ae2b807-5c6c-484f-80a3-95f74fb87335,True,54
27247419-dc6d-4d60-acea-5292c181c318,False,120
bfd3907a-63cd-4fdc-acd7-95dbc99b7235,False,147
e8110185-7a4a-421b-afd1-e721c20ab7f9,False,135
6da1cd94-97f4-44cb-be67-4c94a7184d3e,False,54
276dfe53-aacb-4142-932e-686c04771d25,False,64
69ad927c-88e4-4848-b15a-1f9f7c68fd38,False,63
2f46e68b-0d0c-4d7e-a9ee-8ee29a60c92c,False,133
0bd7abbd-ea7a-4b86-8cbe-a3de657e2e6b,False,56
0ab3559e-c5de-4f47-bdba-348a9084255c,False,79
998387e7-a4be-4ce5-b421-a3ad32b9bd55,False,133
79f03252-1abc-4af6-987f-968809f2e80b,False,62
f6498b11-03b7-4648-bd1b-8097becb8419,False,89
cb4d67e9-7331-4d7b-a93e-9a12adbb0c67,False,100
e083fd87-c178-4271-8511-3f45d178264e,False,98
ba0b0cb9-1107-40f0-897c-7ada8a1b993f,False,67
640afb19-9829-4a61-813b-a704aaa732bc,False,78
23f7b997-2e77-4027-b0fd-70bea03bc9d2,False,82
ded8c000-7621-477c-8acf-1e70f14b6de8,False,72
b5bce9b6-20f1-48cd-aa35-a8f6e0920b35,False,105
a5caf368-0788-4396-adba-f364909afec7,False,87
08864437-8bb2-4571-8caf-5af0476978d2,False,131
d52b1953-084b-4d64-81ed-6308ed852c45,False,66
882a5bc2-6f56-43ca-b2c7-37215833c957,False,84
ff19bbe2-ad53-47cc-b63e-9eac2f9e0e02,False,92
64b80d36-bfc7-4e85-a09a-839040253f19,False,58
b03b8dff-2d70-4108-a4e6-f63507323a01,False,82
0b2b1347-8729-4f4c-8ca0-586fc4362360,False,74
1bb23cbb-88d0-4a2c-916e-25c1f1391c40,False,149
05b136e2-fd91-4c31-989f-6185ed0a23e2,False,76
79976d9f-8c7d-48ce-85ef-0c7f044430d1,False,71
c72f79ee-24c5-4cca-9902-1ac532d0982a,False,131
d40792bf-779c-492f-b71c-947ee14face2,False,61
b3d6d868-d414-403d-af19-30c66b208e7a,False,118
27831193-980d-416b-b221-e424124c0a56,False,144
8a6bdc26-7172-41f8-bcee-da3fb2f8db96,False,114
62846d8d-e806-4464-93f3-c56cc2c404c2,False,116
cb09bbdd-154e-4277-a5e9-907f59c65a41,False,147
611a3d64-8b2e-4989-b311-cabe018fb6b9,False,111
8773685d-8a30-4b70-98b7-91f2e97a11f3,False,92
2c3942c7-1567-4767-b753-b25324549800,False,55
230245f8-b38c-48bd-9c37-cff70e2c5853,False,97
4577ea06-ec08-43d2-9999-f40b773b70fd,False,113
50ce03b2-ae22-4b2e-9696-23d4b0501dc8,False,70
3dc722bf-f0e0-4ce9-acf9-2b42d7a35c87,False,82
694db090-71d1-41e2-8e0f-9a04b19aec19,False,101
3c06597f-4d83-4d67-8985-c7d6c1419b21,False,147
02c019d5-2da2-4b92-9405-ac99b82fdb43,False,64
205b3141-2899-463a-aafd-a0cdc46f54c9,False,79
c4714dc3-08bc-4f72-a772-a2d6aca7483d,False,145
2f3a123d-a242-40e6-945d-64995e7dbef3,False,99
deb344f5-8b93-4a6a-a226-393c27461596,False,87
3e937e59-24f4-4cac-8c55-e1de4cdbe15e,False,105
2ccce561-dbce-45d2-bfda-456e288d63df,False,98
59b9f960-820b-4c0d-9376-db2226cf57f3,False,129
7e819317-20a6-4d82-a515-0a2624efaa56,False,116
6619b250-eb3e-41e1-aa10-3f7769528eb6,False,122
d6fdce71-0f4c-449f-bbe0-799014296035,False,137
66fe1606-a36b-4ef2-b8dd-1bb8d307294e,False,105
a021118e-f3a9-4636-a840-eb72f6487746,False,70
61a55f63-0f73-4b13-937b-7883631fa724,False,130
c4087cb1-ff4f-4b6b-ae1d-87d50b566278,False,121
b3bb3f96-fd40-4d49-aabe-706a8b856e47,False,80
385900b7-0196-4119-93e4-c23c50683818,False,88
da7aaff5-e160-4e10-a3e2-beade7fddae7,False,130
9b08f905-796a-40f9-bf1c-dff8d4b0c67c,False,105
f279a206-98e5-4624-adaf-3520d5f3d17b,False,109
a4e0e6ab-0ddc-4c0a-a99e-d1de83214645,False,84
10a12f38-5a47-406b-b363-d84b358266f8,False,71
43916899-b5b7-4360-a3c6-f7bd13e08318,False,144
ae80520a-5783-4d2f-9a88-2c906326d643,True,72
c7b7fb42-3bb4-4e90-874d-d54e2eb8d979,False,57
fe78fa7e-78ae-45e6-a38d-79d58d6b6c6f,False,135
d57253fa-8f21-4e26-9b51-f4f90611563e,False,110
44b826ba-cdae-478b-9de7-a51705456f46,False,58
d26550e7-de14-4092-8d93-fd3c3926853d,False,106
a33959e5-8c34-48d0-8f1a-412ade84e728,False,142
8b69d176-fb4f-452c-8bf9-12ec99d25548,False,104
650eacb3-02c7-4e0a-998c-d7bbacf5e94b,False,89
3899f19c-5f5a-485a-b918-72a8acebeb26,False,135
b6a00e7d-57a0-4295-b135-dad5c43779b8,False,67
09ad005d-821d-479c-9170-34bbfe04f8d0,False,97
d1cb6fa5-0733-4b2f-81c3-46a901e45639,False,53
e4b47cfe-9273-455d-9ffd-95fe1b28d704,False,114
ca07acd8-a980-4c35-a7f6-b010dbf6ff6a,False,98
e2e5bb64-36c9-4d7c-8a03-56cd033749d6,False,97
893bf102-1385-4469-8317-dac8935e0e99,False,71
ef3a378f-60a3-40b1-9a74-a97cde91b980,False,70
9b6f632d-edfa-4013-9eb9-c358663c4185,False,108
ca07c211-346b-4b7f-917c-18313c572d74,True,56
cb5444f4-77ab-46a0-9ad7-15f01563dd94,True,53
82ff352d-4862-4a21-8e54-6e72c90f3a26,False,85
16be030e-7ea7-4089-bde8-ecdfee3a99d8,False,93
ff175205-a7da-4eee-89b7-7f2c7c969f7f,False,121
24f39542-eb5a-4233-acb0-3ed1e605497b,False,137
7d226f15-7260-4a68-90dc-56ad0e591c2f,False,127
bed22378-5331-4ced-b6e3-b51292c35183,False,111
6d9791de-19be-4c16-a748-ee4303a6cfe3,False,68
6ebf193e-eec4-4c5d-9a08-4058c38650c2,False,51
041ec703-40bb-45da-b37a-f5e2b18407c0,False,87
c55b13dd-3f37-42ca-9761-1e22b922138c,False,106
9794d9a3-8863-42b6-b22f-3bbe679fcefb,False,120
80f4979e-5e9e-459b-a1db-7cce63bf15b0,False,148
8bd8007d-e096-4baa-8a0e-2609c7d8e464,False,122
5055b95b-4829-4a21-8a64-6f0317953d31,False,61
9c73ec33-2aa4-4ea4-9b28-b94a0d8bad5b,False,110
7b1f2be6-b9e6-4ec2-9d74-7929add205fb,False,68
3ec2f837-7533-43b7-91a6-6f3bbc8a2c08,False,137
76c23e1e-6ee2-4de5-ae51-b0748b7bc97d,False,141
e79bdec3-2beb-469d-9049-980d742c2a16,False,106
1c328bae-8bcd-4ffd-ba10-899a7d449c46,False,104
47be449d-dbdd-4a53-973d-53e01f2b4728,False,60
446b8068-7d19-4634-bc1e-99ee53c51155,False,71
7b21fa33-c429-4f38-800d-60ce2118b416,False,104
1e42c53f-0b57-4966-b972-3e3149e396dd,False,122
90dfd0ed-aa38-4182-9c4d-b46ceea8b106,False,129
f88ae33d-8fbe-409b-8009-d67d36e858a7,False,75
de200d62-89bc-4f9f-956c-0a8b6b6a3e9b,False,67
9ef7e0ef-3907-47a0-a532-96fa9c01b7fb,False,110
bdb660ae-54b0-4f0f-b8d2-0eb8c80d3f1e,False,122
473b9932-67ba-4832-8f53-7dd7ebf4d7b3,False,65
b68c151f-7f42-4f0b-b8df-69175d9322ea,False,141
baeb1cfb-06fe-4827-a40a-87c55f618f75,False,88
cc59a933-8d89-4250-942c-369f196d2f32,False,135
266b5944-c7c5-45d4-a470-f553d900046a,False,66
1061256f-a643-438a-8ce2-59a7d4869b93,False,74
1ab196d3-7afc-4c3b-94be-62a9f8e3b7c0,False,91
23d3387c-978f-4860-a422-2885b1f901ee,False,73
f5b2e8f3-946b-4611-8d46-6f4487ee93b6,False,57
7f616d93-504d-4c7b-87ca-312fdb3f2f34,False,60
430888f2-ab6d-46f9-8e42-aacc081363ee,False,121
d7a45dc2-8bfd-4616-99ae-6897d285eeff,False,149
35209dc6-8041-4c3d-8cc7-3778611afc68,False,121
6d304b70-be45-41a2-b350-24c0f12bd8d3,False,50
c5ae6aae-b05a-4891-af62-0eb02b630018,False,86
5d61debe-3337-4b70-9db5-b3941af590c8,False,127
a2a27c96-154c-4894-b26d-c98752f9255d,False,141
bab19a1a-cd35-489f-9185-24bf567c3cdd,False,106
34f5ff23-d99a-4839-8b12-5c845112f09c,False,142
2d721bb9-e5c0-4dcc-af16-1bcdc1ac1074,False,89
5a5ce602-f3ae-4f56-aafc-5ac6eecc4ba8,False,69
144860b1-fae2-4afb-8b21-f6ca50d43030,False,60
89257171-acd6-425f-9a15-76aa3e6d83ef,False,60
5c284d4c-75b7-48cb-9e50-eb99c899c87e,False,66
36229703-e86f-42d0-91eb-fde940dba825,False,93
9be7e0a2-2530-4da9-a0aa-2e698a1adb10,False,80
86aefca2-c78f-4e2a-8ad3-b6c963634ebb,False,58
53f3f090-0199-4ce1-99f6-7a41c2128771,False,110
5cad3469-f751-4b3f-a390-9a598fce3072,False,139
7bf4689a-5867-4fb9-9c0c-5701344a95b0,False,90
4f19fafc-021b-4476-aed6-c99886f455e1,False,133
1441708e-8255-4461-b605-c403bc9cbb0d,False,121
a1aee3a1-3d76-4b39-b5c3-e30f6a65e8ad,False,139
7be67039-96f0-434b-8786-6ba7d7d67e1b,False,135
40a95bf1-8c1f-47c5-a204-c0e95abc28d8,False,95
4edbc82d-a1a7-4b50-a0b3-a1597b0a3d59,False,115
303b6c84-29ec-4fc8-b73c-5f134baf990f,False,144
fbc1dd6b-a0d9-4aa8-b154-9132d965b156,False,137
e09f114a-534d-4397-a1b4-802ce3892402,False,136
115a4488-c591-4a11-a192-38014aa63343,True,57
43b17597-f001-40a7-ad89-52b1f21b327b,False,94
57317575-671c-45d5-89a7-8b6a46978d24,False,135
71896a90-6bdb-4eb2-b5be-68071ce53e0a,False,83
5fc2cc91-9347-4c70-81f0-5d2a0ca6d8ac,False,61
89bd9bdc-2ebe-40f3-b6a0-56d836e73487,False,92
f1ce8862-0958-41d1-9109-697d59208144,False,130
1e83d79f-0c02-4cc4-88a4-a6c0aa25d706,False,142
03d7fdba-3743-454a-be17-eb11eab37e84,False,75
20aa7138-cdba-4bf4-9733-a801f7245f34,False,59
3a271426-3578-46d5-92e9-c5fed999aecd,True,101
6bf671b0-758e-4ee6-a081-a2c6ccb6c54f,False,130
eca109aa-faa0-4d09-8f56-6cecafb3d491,False,85
8af3bbdb-50ea-4408-ac03-b50e217e602f,False,139
61c930c2-728c-457a-a10e-c9d4f4b6287a,False,133
c15dde63-5934-46ef-8ec9-78af0477da08,False,50
d60de741-8231-45b5-a402-fa5cf29f2b1b,False,134
8bb8c99c-cac1-4b0f-9ebc-929322d1a486,False,69
05a8664a-8e76-414d-864b-86ba2b3f82e6,False,112
eb6d9802-8946-4d68-a949-83e0d15fc9cb,False,118
74304c80-396e-405e-af04-6df5e2206ab6,False,120
bd118d6e-3c39-4cb2-9fdc-5569de73d5a5,False,73
ee0b1f30-8637-455a-a086-57afba21fe09,False,59
2cc60ac1-00ce-495d-865c-de6cec770e9c,False,113
c4a227ee-a8fe-42ad-87a4-251802535906,False,76
c8fdf47d-2681-4faf-bf59-8b66c55167ee,False,82
2d54f19d-0cb8-4c24-af9b-89b8200c05fd,False,53
8df827fd-24fd-4e24-9361-652881a563e7,False,100
99bbf885-1ff7-45c8-b573-de03da990d06,False,90
04db7bfe-84c4-4fa0-9ba6-7ed9d01ec697,False,114
ad9e88dd-26c4-49a4-a0d6-4e1b710084a7,False,73
5bf7b771-beb8-4f60-809a-bf6cc62ac93a,False,69
dba09a7b-870d-47bd-be1e-aaabc6907274,True,120
a72f75fb-8b11-49e4-88fc-5fa204205b7a,False,98
50d2a272-ce5f-4ec6-ab01-1049e3def154,False,87
e355deae-08d9-42d5-bb69-007682bab4b3,False,51
66f5598d-a34e-46ac-a271-c6bb96c8a6ee,False,95
99c45eb6-0400-4e00-8972-260f5688d471,False,52
d5b3b5d6-647c-4966-aeb7-4d8b35abff8e,False,103
27b351b1-a417-4f87-b794-08a57d6e3ae6,False,112
b339312a-1ccb-4e26-8079-29dd1f1ce991,False,107
a72843e1-5bfc-4e00-ab99-efe9ec6c8800,False,109
1923a425-8872-432e-8e44-de13a5011475,False,118
8790baba-3a60-4069-824e-301a861eeeaf,False,96
15ec29e2-163e-4f3d-9cb9-0f5859eb98bb,False,101
223247b0-a7d8-4bf4-85f7-23c210d182b3,False,118
b88a6398-4822-4232-9a0e-3b0c92a55172,False,59
924f6a36-075a-475e-8cb4-8b001ae35900,False,105
07862053-b1ee-4995-94a5-06285ed984c9,False,134
f8137ac3-d34a-49b2-8a77-4664c4369f7f,False,113
b5f978ec-9e9e-48f7-b046-a26d620987a2,False,138
f76373fd-bc5d-43b4-a8dc-3bb621e4024d,False,50
742f4d5c-898c-435a-8138-a894df667cb0,False,86
cbec95b6-50ee-4764-9c68-f7f54dcf4390,False,99
b30d929f-0d14-4248-9074-dfa844d42f0d,False,59
020fc0e7-5c55-456f-93df-546ee697d0c0,False,126
96e240f2-830a-429e-a9af-a9136309623c,False,76
047fafd3-7404-496d-a466-a9501d3ce0d7,True,134
2d1cfdbd-db0f-4d82-89ee-6415a6d27003,False,75
572d3cfe-3690-449a-83a8-d95d3864e7af,False,72
e656cf59-af73-4341-9957-0ed14a9faf28,False,50
f2d7f096-7ad2-4d6c-b1b1-0e19668c8f2d,True,72
327e546d-c70e-47cd-acfd-813a5ed0eed1,False,50
cf046d00-d29e-4bd8-9f8d-f52fd11ce898,False,103
6cb23e39-5a6a-4018-917b-f37b70e4a4f0,False,95
f08f7d4f-4e3a-4fda-8b53-833b18590b8d,True,119
2ebc22da-8ce0-48ca-bb06-598fc2b5e118,False,90
93112f4d-a139-41a6-bd11-4dd7d81537e9,False,67
be537a9b-5012-4ecf-8c6a-887bf523a718,False,110
c653eecd-7826-467b-9419-d51fa38f1812,False,95
e1e2dd9a-ff54-49b1-ad87-a2dbdc63b39f,False,96
7f9fe699-472c-4d3a-b931-78d40666800f,False,89
202d96ee-593d-4f4d-8647-6ec486f291a4,False,110
a34b7ef4-577b-4786-8cb4-c42e561c246c,False,67
403f855d-6ab9-45a8-be1c-615e322050ab,False,119
02693e48-fa08-4d2b-a4db-87f91095bed5,False,111
d3980b90-fb5d-41ee-9272-e72656b28da7,False,113
1a9948bb-b726-449a-bdf2-32c9a15265ea,False,117
2920e076-8a52-43bc-8f0e-454ee7334574,False,102
b1506507-8207-4939-9560-408c2a76b00b,False,116
9500f26f-a6a6-42b0-b907-61594040022d,False,104
1691d5d2-4dd5-42f4-9c78-46fe23cd8f0a,False,83
09960962-72cc-4e55-96ad-30e7d076b8cd,False,53
f8e68cb6-329b-434f-82ab-c4eed092e6a9,False,111
dbf4ec50-ad60-405f-9633-fac3871939be,False,111
3cf38ac1-033a-4628-a07a-325f6e41631b,False,134
1132bba9-6759-4b07-82be-9e8107097831,False,85
c0fcd27f-7ca4-43a6-a4a0-c4c23641bc96,False,112
25faf1b8-e71e-4f86-a78c-3235ddcfdb2c,False,125
0be09792-c999-4a94-9702-1342695726a2,True,63
20e8bf14-d6e4-4244-accb-1816f123babd,False,143
905a9cd8-17e7-4b0f-90bc-b79c498cbc4d,False,87
48c882fd-81ff-49c9-a442-472efa66e3b6,False,71
f6863ecd-de80-49d7-a849-7a7de1132974,False,121
97fc0ec4-0fc2-45d6-a552-d292758c0c66,False,54
8a889b13-ce3a-4f7e-880f-6003af79528d,True,91
810c303a-cb06-4bff-b48e-ebd02cab73d0,False,113
b163d8c6-8be9-4497-84ad-6a2defba2ab1,True,122
1092e24e-0456-47d2-b1af-93b65d72ea72,False,61
df6c263e-4a29-46b4-9d0c-66e5e2c05f33,False,133
d5fd6daa-710e-4b3b-a474-55c7c3a8c954,False,58
9423c1ad-21d0-4194-a853-a52d2e6bb0ed,False,67
aa114b11-1cd9-41ff-a439-9ba1181ebb4d,False,72
a548d9b2-4b9a-4e83-b36d-c7680fe1182c,False,139
8ab23397-ba0a-4da6-ab0a-52e0ead38bf1,False,123
ea236908-aacf-433a-b609-6488096943f9,False,141
b57ce117-4367-4f4e-a347-74c1b7c158d8,False,78
6dc1c070-5a9e-4205-8d53-84ef2022f57d,False,76
dbe1baa3-ec9b-4eeb-a3c2-426f878e6b05,False,79
13341af2-2b51-4586-9207-90392dab0df4,False,142
bbe5a548-9d7f-45b3-9e7f-59be8b0e7e34,False,82
97a02122-7775-46bb-b6b8-9e74f6fcebb7,False,78
dd72cdd6-391d-4e00-8eff-6b5f1c0ea4da,False,90
423f85f6-da85-4bf0-bce3-ebfc48ae5f47,False,98
391109dd-eaae-49cc-85d7-e27a49d939d1,False,133
976ff3f9-2aaf-46a2-975b-793f9c348f87,False,70
52bcaac2-567a-40c1-8bae-9463df694372,False,118
17ee38d2-5933-498b-a531-7a58ff681143,False,142
c10667a2-034f-45b0-9a69-70990ae812fe,False,58
0f34ce2a-0e33-4ed9-94df-27e0888d3d96,True,63
43e4ca2e-ef5c-49e8-92b1-f9c5d293e0f4,False,56
6b23c5b9-9297-4740-acd1-cf84e9bc96d4,False,91
f8e089c6-ceb4-47c6-b0b9-4229a46f8712,False,73
